# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998326     3.72000E-3    1.4500E-3    9.9823E-1    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00002085   1.02E-3     1.018315     3.79000E-3    3.2000E-3    1.0184E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00003000   1.04E-3     1.038328     3.89000E-3    1.0000E-5    1.0367E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00004000   1.06E-3     1.058285     4.20000E-3    2.1000E-4    1.0574E+0    -9.1553E-4   -3.0518E-4    -3.0518E-4      0.000000 
00005000   1.08E-3     1.078225     3.75000E-3    3.3300E-3    1.0782E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00006000   1.10E-3     1.098127     3.05000E-3    1.5100E-3    1.0989E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00007000   1.12E-3     1.118184     4.54000E-3    1.7200E-3    1.1179E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00008000   1.14E-3     1.138089     4.48000E-3    1.6600E-3    1.1380E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00009000   1.16E-3     1.158064     4.60000E-3    1.6800E-3    1.1575E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00010000   1.18E-3     1.178006     3.00000E-3    1.6700E-3    1.1768E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000610 
00011000   1.20E-3     1.197950     4.52000E-3    1.6300E-3    1.1984E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00012000   1.22E-3     1.197952     3.01000E-3    1.6100E-3    1.2173E+0    -3.0518E-4    0.0000E+0     3.0518E-4      0.000000 
00013000   1.24E-3     1.237911     4.54000E-3    1.6600E-3    1.2381E+0    -3.0518E-4   -6.1035E-4    -6.1035E-4      0.000000 
00014000   1.26E-3     1.257816     4.47000E-3    1.6300E-3    1.2582E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00015000   1.28E-3     1.277830     3.54000E-3    1.6500E-3    1.2778E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00016000   1.30E-3     1.297849     3.61000E-3    1.7400E-3    1.2976E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000305 
00017000   1.32E-3     1.317772     3.86000E-3    1.8000E-3    1.3159E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00018000   1.34E-3     1.337725     3.89000E-3    1.1200E-3    1.3358E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00019000   1.36E-3     1.357677     3.86000E-3    4.0000E-4    1.3574E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00020000   1.38E-3     1.377644     3.77000E-3    1.1000E-4    1.3794E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00021000   1.40E-3     1.397675     3.74000E-3   -1.0000E-5    1.3959E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00022000   1.42E-3     1.417620     3.79000E-3    3.4100E-3    1.4163E+0     3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00023000   1.44E-3     1.437560     3.86000E-3    3.3800E-3    1.4371E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00024000   1.46E-3     1.457485     4.18000E-3    2.6100E-3    1.4569E+0     0.0000E+0    3.0518E-4     0.0000E+0     -0.000610 
00025000   1.48E-3     1.477524     4.41000E-3    9.5000E-4    1.4774E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00026000   1.50E-3     1.497457     3.15000E-3    1.8600E-3    1.4975E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00027000   1.52E-3     1.517347     4.55000E-3    1.6300E-3    1.5210E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00028000   1.54E-3     1.537331     4.55000E-3    1.6800E-3    1.5378E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00029000   1.56E-3     1.552882     4.56000E-3    1.6600E-3    1.5555E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00030000   1.58E-3     1.577296     4.54000E-3    1.6600E-3    1.5768E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000610 
00031000   1.60E-3     1.597195     4.46000E-3    1.5900E-3    1.5979E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00032000   1.62E-3     1.617188     4.46000E-3    1.6500E-3    1.6171E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00033000   1.64E-3     1.636557     4.04000E-3    1.6200E-3    1.6388E+0    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000610 
00034000   1.66E-3     1.657171     3.89000E-3    1.8800E-3    1.6577E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00035000   1.68E-3     1.677089     3.84000E-3    1.5500E-3    1.6760E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00036000   1.70E-3     1.697010     3.75000E-3    2.8300E-3    1.6949E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00037000   1.72E-3     1.716975     3.76000E-3    1.4000E-4    1.7169E+0     3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00038000   1.74E-3     1.736911     3.79000E-3    5.0000E-5    1.7358E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00039000   1.76E-3     1.756895     3.79000E-3   -6.0000E-5    1.7569E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00040000   1.78E-3     1.776735     3.78000E-3   -1.1000E-4    1.7776E+0     0.0000E+0   -3.0518E-4     3.0518E-4      0.000000 
00041000   1.80E-3     1.796645     3.54000E-3   -2.0000E-5    1.7978E+0    -3.0518E-4   -6.1035E-4     3.0518E-4      0.000000 
00042000   1.82E-3     1.816572     3.41000E-3    1.1000E-4    1.8134E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00043000   1.84E-3     1.836633     3.12000E-3    1.3200E-3    1.8350E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00044000   1.86E-3     1.856569     3.07000E-3    1.5400E-3    1.8576E+0    -3.0518E-4    6.1035E-4    -6.1035E-4     -0.000305 
00045000   1.88E-3     1.876476     3.09000E-3    1.6300E-3    1.8756E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00046000   1.90E-3     1.896428     3.05000E-3    1.6500E-3    1.8979E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00047000   1.92E-3     1.916371     3.09000E-3    1.6800E-3    1.9171E+0    -6.1035E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00048000   1.94E-3     1.936424     2.96000E-3    1.6300E-3    1.9342E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00049000   1.96E-3     1.956303     2.97000E-3    1.6100E-3    1.9553E+0    -3.0518E-4    3.0518E-4     0.0000E+0     -0.000305 
00050000   1.98E-3     1.976229     2.99000E-3    1.6600E-3    1.9760E+0    -9.1553E-4    0.0000E+0    -6.1035E-4     -0.000305 
00051000   2.00E-3     1.996173     3.31000E-3    1.6800E-3    1.9971E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
