# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3    -0.097938     4.64000E-3    1.6400E-3   -1.0818E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00002074   1.02E-3    -0.106087     3.92000E-3    1.8800E-3   -1.0919E+0    -3.0518E-4    0.0000E+0    -6.1035E-4     -0.000305 
00003000   1.04E-3    -0.866331     3.81000E-3    3.0100E-3   -1.0370E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00004000   1.06E-3    -1.108090     3.80000E-3    3.1700E-3   -1.2772E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00005000   1.08E-3    -1.091789     3.84000E-3    3.2100E-3   -1.2805E+0    -3.0518E-4   -9.1553E-4     0.0000E+0     -0.000305 
00006000   1.10E-3    -1.105708     3.77000E-3    3.2900E-3   -1.2802E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.12E-3    -1.050893     3.80000E-3    3.3100E-3   -1.2802E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00008000   1.14E-3    -1.058704     3.83000E-3    3.3300E-3   -1.2805E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00009000   1.16E-3    -1.097727     3.77000E-3    3.3700E-3   -1.2799E+0    -3.0518E-4    0.0000E+0    -6.1035E-4      0.000000 
00010000   1.18E-3    -1.091364     3.76000E-3    3.4100E-3   -1.2802E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00011000   1.20E-3    -1.104192     3.81000E-3   -6.0000E-5   -1.2863E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00012000   1.22E-3    -1.054653     3.83000E-3   -2.0000E-5   -1.2881E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00013000   1.24E-3    -1.091105     3.83000E-3   -3.0000E-5   -1.2891E+0     0.0000E+0   -6.1035E-4    -3.0518E-4      0.000000 
00014000   1.26E-3    -1.105423     3.77000E-3    0.0000E+0   -1.2888E+0     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
00015000   1.28E-3     0.555845     3.90000E-3   -6.0000E-5   -4.5227E-1    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00016000   1.30E-3     1.304147     4.16000E-3   -2.0000E-5    1.3037E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00017000   1.32E-3    -0.112992     3.25000E-3    5.5000E-4   -1.0999E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000305 
00018000   1.34E-3    -0.031605     3.22000E-3    1.0200E-3   -1.7325E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000305 
00019000   1.36E-3    -0.876026     4.49000E-3    1.4300E-3   -1.0336E+0    -6.1035E-4    0.0000E+0    -6.1035E-4     -0.000305 
00020000   1.38E-3    -1.075485     3.09000E-3    1.5500E-3   -1.2759E+0    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000305 
00021000   1.40E-3    -0.858135     4.59000E-3    1.6500E-3   -1.3614E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00022000   1.42E-3    -1.108824     4.58000E-3    1.6400E-3   -1.2793E+0    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000305 
00023000   1.44E-3    -1.106089     4.59000E-3    1.6700E-3   -1.2784E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
