# 1kOhm 08/12/2017 WITHOUT PREAMPS
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998301     3.78000E-3    3.3300E-3    9.9762E-1    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000000 
00002164   1.02E-3     1.018249     3.31000E-3    3.1800E-3    1.0175E+0     3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00003000   1.04E-3     1.038273     3.41000E-3    1.7200E-3    1.0379E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00004000   1.06E-3     1.058227     3.55000E-3    1.6700E-3    1.0574E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00005000   1.08E-3     1.078181     3.67000E-3    1.9000E-3    1.0779E+0     3.0518E-4   -3.0518E-4    -6.1035E-4      0.000305 
00006000   1.10E-3     1.098124     3.85000E-3    1.8800E-3    1.0980E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00007000   1.12E-3     1.118155     3.86000E-3    1.7500E-3    1.1182E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00008000   1.14E-3     1.138097     3.82000E-3    1.6800E-3    1.1365E+0    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000305 
00009000   1.16E-3     1.158049     3.81000E-3    1.0800E-3    1.1575E+0    -6.1035E-4   -3.0518E-4     0.0000E+0      0.000000 
00010000   1.18E-3     1.177994     3.85000E-3    4.3000E-4    1.1765E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00011000   1.20E-3     1.197900     3.74000E-3    1.5600E-3    1.1969E+0    -3.0518E-4    0.0000E+0    -6.1035E-4     -0.000305 
00012000   1.22E-3     1.197935     3.81000E-3    2.0400E-3    1.2167E+0     3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00013000   1.24E-3     1.237905     3.85000E-3    2.4900E-3    1.2363E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00014000   1.26E-3     1.257807     3.80000E-3    2.9700E-3    1.2573E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00015000   1.28E-3     1.277806     3.79000E-3    3.2100E-3    1.2769E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00016000   1.30E-3     1.297791     3.75000E-3    3.2500E-3    1.2976E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00017000   1.32E-3     1.317777     3.81000E-3    3.3000E-3    1.3177E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
