# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.997945     3.80000E-3    3.2500E-3   -2.0248E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00001874   1.02E-3     1.017886     3.83000E-3    3.3700E-3   -2.1078E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00002276   1.04E-3     1.037900     3.03000E-3    1.6800E-3   -2.1118E+0    -3.0518E-4    0.0000E+0     3.0518E-4     -0.000305 
00003000   1.06E-3     1.057848     3.83000E-3    3.3500E-3   -2.0984E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00004000   1.08E-3     1.077792     3.77000E-3    3.3700E-3   -2.0917E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00005000   1.10E-3     1.097729     3.75000E-3    3.3200E-3   -2.0874E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00006000   1.12E-3     1.117750     3.72000E-3    3.4000E-3   -2.0776E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.14E-3     1.137681     3.25000E-3    3.1100E-3   -2.0721E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00008000   1.16E-3     1.157625     3.11000E-3    2.0800E-3   -2.0969E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00009000   1.18E-3     1.177559     3.03000E-3    1.6700E-3   -2.0853E+0     3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00010000   1.20E-3     1.197501     4.43000E-3    1.6800E-3   -2.0975E+0    -6.1035E-4    3.0518E-4     0.0000E+0     -0.000305 
00011000   1.22E-3     1.217518     3.04000E-3    1.6400E-3   -1.6525E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00012000   1.24E-3     1.237452     3.01000E-3    1.6500E-3   -2.0813E+0    -6.1035E-4    0.0000E+0     0.0000E+0      0.000000 
00013000   1.26E-3     1.257393     4.56000E-3    1.6500E-3   -2.0734E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00014000   1.28E-3     1.277350     3.03000E-3    1.6600E-3   -2.0764E+0     3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00015000   1.30E-3     1.297361     4.50000E-3    1.6800E-3   -2.0755E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00016000   1.32E-3     1.317306     4.18000E-3    1.6600E-3   -2.0837E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00017000   1.34E-3     1.337254     3.43000E-3    1.6300E-3   -2.0740E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00018000   1.36E-3     1.357194     3.88000E-3    1.9100E-3   -2.0999E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00019000   1.38E-3     1.377130     3.70000E-3    1.9100E-3   -2.0752E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00020000   1.40E-3     1.397140     3.72000E-3    2.9600E-3   -2.0837E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000610 
00021000   1.42E-3     1.417087     3.81000E-3    3.2100E-3   -2.0776E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00022000   1.44E-3     1.433204     3.75000E-3    3.3400E-3   -2.0801E+0    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000610 
00023000   1.46E-3     1.456966     3.81000E-3    3.3600E-3   -2.0901E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00024000   1.48E-3     1.474088     3.77000E-3    3.4000E-3   -2.0816E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00025000   1.50E-3     1.496925     3.82000E-3    3.3600E-3   -2.0816E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000000 
00026000   1.52E-3     1.516860     4.05000E-3    3.3400E-3   -2.0831E+0    -6.1035E-4    0.0000E+0     0.0000E+0      0.000000 
00027000   1.54E-3     1.536806     4.20000E-3    2.3600E-3   -2.0786E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00028000   1.56E-3     1.556741     4.40000E-3    1.9300E-3   -2.0822E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00029000   1.58E-3     1.576780     4.48000E-3    1.6000E-3   -2.0813E+0    -3.0518E-4    3.0518E-4    -3.0518E-4      0.000000 
00030000   1.60E-3     1.596718     4.56000E-3    1.6800E-3   -2.0490E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00031000   1.62E-3     1.616651     4.61000E-3    1.6800E-3   -2.0737E+0     0.0000E+0   -6.1035E-4     0.0000E+0      0.000305 
00032000   1.64E-3     1.636610     4.57000E-3    1.6400E-3   -2.0657E+0    -9.1553E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00033000   1.66E-3     1.656618     4.58000E-3    1.6600E-3   -2.0996E+0    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00034000   1.68E-3     1.676555     4.41000E-3    1.6000E-3   -2.0993E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00035000   1.70E-3     1.696489     4.06000E-3    1.6700E-3   -2.1005E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00036000   1.72E-3     1.716441     3.90000E-3    1.7900E-3   -2.1002E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00037000   1.74E-3     1.736381     3.71000E-3    1.4900E-3   -2.1115E+0     0.0000E+0    0.0000E+0     0.0000E+0      0.000000 
00038000   1.76E-3     1.756394     3.74000E-3    2.0700E-3   -2.1051E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00039000   1.78E-3     1.776321     3.77000E-3    2.7800E-3   -2.0905E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00040000   1.80E-3     1.796267     3.72000E-3    3.1600E-3   -2.0993E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000305 
