# 1kOhm 08/12/2017 WITHOUT PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998250     3.73000E-3    1.3800E-3    9.9884E-1    -3.0518E-4   -6.1035E-4    -6.1035E-4     -0.000305 
00001858   1.02E-3     1.018236     3.77000E-3   -6.0000E-5    1.0150E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00002254   1.04E-3     1.038253     3.07000E-3    1.5000E-3    1.0394E+0     0.0000E+0   -3.0518E-4     3.0518E-4     -0.000305 
00003000   1.06E-3     1.058212     3.76000E-3    2.0000E-4    1.0580E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00004000   1.08E-3     1.078167     3.72000E-3    1.0000E-5    1.0773E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00005000   1.10E-3     1.098113     3.79000E-3   -1.0000E-5    1.0983E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00006000   1.12E-3     1.113104     3.78000E-3   -2.0000E-5    1.1179E+0    -6.1035E-4    0.0000E+0     3.0518E-4      0.000000 
00007000   1.14E-3     1.138080     3.78000E-3   -7.0000E-5    1.1380E+0     0.0000E+0   -3.0518E-4    -6.1035E-4     -0.000305 
00008000   1.16E-3     1.158028     3.31000E-3    4.5000E-4    1.1594E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00009000   1.18E-3     1.177981     3.09000E-3    1.4600E-3    1.1777E+0     3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00010000   1.20E-3     1.197926     3.14000E-3    1.8300E-3    1.1969E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000916 
00011000   1.22E-3     1.197928     4.52000E-3    1.6000E-3    1.2173E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00012000   1.24E-3     1.237898     3.01000E-3    1.6900E-3    1.2384E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000305 
00013000   1.26E-3     1.251451     4.58000E-3    1.6500E-3    1.2534E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00014000   1.28E-3     1.277815     4.35000E-3    1.6800E-3    1.2775E+0     3.0518E-4   -6.1035E-4    -6.1035E-4      0.000000 
00015000   1.30E-3     1.297800     3.68000E-3    1.8600E-3    1.2985E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00016000   1.32E-3     1.317786     3.79000E-3    8.7000E-4    1.3174E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00017000   1.34E-3     1.337709     3.83000E-3    2.6000E-4    1.3376E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00018000   1.36E-3     1.357711     3.73000E-3    3.1900E-3    1.3553E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00019000   1.38E-3     1.377620     3.81000E-3   -3.0000E-5    1.3763E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00020000   1.40E-3     1.397680     4.04000E-3    3.0300E-3    1.3968E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00021000   1.42E-3     1.417634     4.36000E-3    2.1400E-3    1.4169E+0     0.0000E+0   -3.0518E-4    -6.1035E-4      0.000000 
00022000   1.44E-3     1.437574     4.53000E-3    1.6000E-3    1.4368E+0    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00023000   1.46E-3     1.457527     4.57000E-3    1.6500E-3    1.4575E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
