# 1kOhm 08/12/2017  PREAMPS 
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-9 A Stop current: 2.00E-9 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-9     0.051479     3.72000E-3    6.8000E-4   -4.2725E-3    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00002164   1.02E-9     0.049845     3.58000E-3    5.4000E-4   -3.3569E-3    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00003000   1.04E-9     0.046423     3.19000E-3    1.5800E-3   -2.1362E-3    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00004000   1.06E-9     0.043012     3.21000E-3    2.0700E-3   -1.8311E-3    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000305 
00005000   1.08E-9     0.039563     3.40000E-3    2.1200E-3   -2.1362E-3    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00006000   1.10E-9     0.036674     3.47000E-3    2.1600E-3   -2.4414E-3    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.12E-9     0.034103     3.54000E-3    2.5600E-3   -2.1362E-3    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00008000   1.14E-9     0.031573     3.68000E-3    2.8300E-3   -1.5259E-3    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00009000   1.16E-9     0.029579     3.84000E-3    2.4900E-3   -2.7466E-3    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00010000   1.18E-9     0.027355     3.98000E-3    2.4400E-3   -2.1362E-3     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00011000   1.20E-9     0.025514     3.58000E-3    8.6000E-4   -1.5259E-3     0.0000E+0    0.0000E+0     3.0518E-4     -0.000305 
00012000   1.22E-9     0.023786     3.57000E-3    5.5000E-4   -9.1553E-4    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00013000   1.24E-9     0.022689     3.97000E-3    5.1000E-4   -2.1362E-3    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000610 
00014000   1.26E-9     0.021281     3.47000E-3    5.4000E-4   -2.1362E-3     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00015000   1.28E-9     0.019951     3.33000E-3    9.9000E-4   -1.8311E-3    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000305 
00016000   1.30E-9     0.018562     3.24000E-3    1.0800E-3   -1.5259E-3    -6.1035E-4   -6.1035E-4     0.0000E+0     -0.000305 
00017000   1.32E-9     0.017269     4.26000E-3    1.1900E-3   -1.8311E-3     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00018000   1.34E-9     0.016077     3.24000E-3    1.3200E-3   -2.1362E-3     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00019000   1.36E-9     0.014975     3.19000E-3    1.9000E-3   -1.8311E-3     0.0000E+0   -6.1035E-4     0.0000E+0      0.000000 
00020000   1.38E-9     0.013955     3.32000E-3    2.0800E-3   -1.8311E-3     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000305 
00021000   1.40E-9     0.013161     4.05000E-3    8.8000E-4   -1.5259E-3     0.0000E+0   -3.0518E-4     3.0518E-4     -0.000305 
00022000   1.42E-9     0.012160     3.86000E-3    5.4000E-4   -1.5259E-3    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00023000   1.44E-9     0.011241     3.68000E-3    5.8000E-4   -1.5259E-3    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00024000   1.46E-9     0.010510     3.62000E-3    8.6000E-4   -1.5259E-3    -3.0518E-4   -3.0518E-4     3.0518E-4      0.000000 
00025000   1.48E-9     0.009733     3.55000E-3    5.6000E-4   -1.8311E-3    -6.1035E-4    3.0518E-4    -9.1553E-4      0.000000 
00026000   1.50E-9     0.009402     3.57000E-3    5.1000E-4   -2.1362E-3    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00027000   1.52E-9     0.008458     3.33000E-3    8.2000E-4   -1.8311E-3     3.0518E-4    0.0000E+0     3.0518E-4     -0.000305 
00028000   1.54E-9     0.007867     3.28000E-3    1.0800E-3   -2.1362E-3     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00029000   1.56E-9     0.007388     3.28000E-3    2.1600E-3   -1.5259E-3     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00030000   1.58E-9     0.006753     3.21000E-3    2.1100E-3   -2.1362E-3    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00031000   1.60E-9     0.006158     3.21000E-3    1.5300E-3   -2.1362E-3    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00032000   1.62E-9     0.005525     4.31000E-3    1.2100E-3   -1.8311E-3    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00033000   1.64E-9     0.005231     3.42000E-3    1.1700E-3   -1.5259E-3    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00034000   1.66E-9     0.004902     4.05000E-3    1.1300E-3   -2.1362E-3     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00035000   1.68E-9     0.004374     3.52000E-3    6.9000E-4   -2.1362E-3     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
