# 1kOhm 08/12/2017  PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-6 A Stop current: 2.00E-6 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-6     0.997276     4.00000E-3    2.6200E-3   -9.3750E-1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00002015   1.02E-6     1.017049     3.34000E-3    2.1600E-3   -9.7748E-1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00003000   1.04E-6     1.027238     4.32000E-3    2.1400E-3   -1.0132E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000610 
00004000   1.06E-6     1.055086     4.31000E-3    1.9100E-3   -1.0345E+0     0.0000E+0    3.0518E-4     0.0000E+0     -0.000305 
00005000   1.08E-6     1.074838     4.39000E-3    1.4000E-3   -1.0547E+0     3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00006000   1.10E-6     1.094291     4.24000E-3    1.2200E-3   -1.0751E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00007000   1.12E-6     1.114276     4.11000E-3    1.1800E-3   -1.0947E+0    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000305 
00008000   1.14E-6     1.135844     4.04000E-3    2.1500E-3   -1.1151E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00009000   1.16E-6     1.154722     3.99000E-3    8.0000E-4   -1.1343E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00010000   1.18E-6     1.174194     3.87000E-3    5.0000E-4   -1.1542E+0    -6.1035E-4   -6.1035E-4     0.0000E+0     -0.000305 
00011000   1.20E-6     1.194061     3.56000E-3    6.2000E-4   -1.1743E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00012000   1.22E-6     1.199992     3.69000E-3    2.8000E-3   -1.1945E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000610 
00013000   1.24E-6     1.234349     3.75000E-3    5.1000E-4   -1.2146E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00014000   1.26E-6     1.253756     3.93000E-3    8.4000E-4   -1.2341E+0     0.0000E+0    0.0000E+0    -9.1553E-4      0.000000 
00015000   1.28E-6     1.274792     3.98000E-3    7.2000E-4   -1.2543E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00016000   1.30E-6     1.294254     3.95000E-3    2.7500E-3   -1.2741E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00017000   1.32E-6     1.313038     4.06000E-3    5.1000E-4   -1.2943E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00018000   1.34E-6     1.333677     4.18000E-3    7.7000E-4   -1.3141E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00019000   1.36E-6     1.353325     4.28000E-3    1.0200E-3   -1.3342E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000610 
00020000   1.38E-6     1.374082     4.20000E-3    2.1900E-3   -1.3541E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00021000   1.40E-6     1.390338     4.30000E-3    1.9300E-3   -1.3733E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00022000   1.42E-6     1.413081     4.28000E-3    1.3800E-3   -1.3943E+0     0.0000E+0   -3.0518E-4    -6.1035E-4     -0.000305 
00023000   1.44E-6     1.432386     4.28000E-3    1.2600E-3   -1.4142E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00024000   1.46E-6     1.453863     4.09000E-3    1.1800E-3   -1.4346E+0    -6.1035E-4    0.0000E+0    -6.1035E-4      0.000305 
00025000   1.48E-6     1.167477     4.17000E-3    1.1700E-3   -1.4536E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000305 
00026000   1.50E-6     0.746052     4.14000E-3    8.3000E-4   -1.4734E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00027000   1.52E-6     0.750281     3.83000E-3    6.1000E-4   -1.4941E+0    -3.0518E-4    0.0000E+0    -6.1035E-4     -0.000305 
00028000   1.54E-6     0.766120     3.72000E-3    5.0000E-4   -1.5137E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00029000   1.56E-6     0.775817     3.61000E-3    8.5000E-4   -1.5338E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000000 
00030000   1.58E-6     0.785554     3.57000E-3    8.5000E-4   -1.5530E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00031000   1.60E-6     0.796280     3.52000E-3    2.6000E-3   -1.5738E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00032000   1.62E-6     0.806310     3.55000E-3    5.2000E-4   -1.5933E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00033000   1.64E-6     0.816271     3.45000E-3    6.1000E-4   -1.6138E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00034000   1.66E-6     0.825768     3.28000E-3    9.2000E-4   -1.6333E+0     3.0518E-4    0.0000E+0    -6.1035E-4      0.000000 
00035000   1.68E-6     0.835819     3.22000E-3    1.0600E-3   -1.6534E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00036000   1.70E-6     0.841453     3.28000E-3    1.1400E-3   -1.6736E+0     0.0000E+0    0.0000E+0     0.0000E+0      0.000305 
00037000   1.72E-6     1.712757     3.27000E-3    1.1600E-3   -1.6937E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00038000   1.74E-6     1.732108     3.22000E-3    1.3200E-3   -1.7136E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00039000   1.76E-6     1.737258     3.19000E-3    1.8200E-3   -1.7334E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00040000   1.78E-6     1.772607     3.17000E-3    2.1000E-3   -1.7532E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00041000   1.80E-6     1.783905     3.39000E-3    2.1400E-3   -1.7731E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00042000   1.82E-6     1.811554     3.45000E-3    2.1700E-3   -1.7932E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00043000   1.84E-6     1.829124     3.50000E-3    2.4500E-3   -1.8134E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00044000   1.86E-6     1.851080     3.63000E-3    2.7700E-3   -1.8335E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00045000   1.88E-6     1.858095     3.76000E-3    2.6900E-3   -1.8530E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000610 
00046000   1.90E-6     1.891680     3.90000E-3    7.3000E-4   -1.8729E+0    -3.0518E-4    0.0000E+0     3.0518E-4     -0.000305 
00047000   1.92E-6     1.901392     3.91000E-3    9.1000E-4   -1.8927E+0    -6.1035E-4    3.0518E-4     0.0000E+0     -0.000305 
00048000   1.94E-6     1.929938     3.55000E-3    6.9000E-4   -1.9131E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00049000   1.96E-6     1.946861     3.95000E-3    5.9000E-4   -1.9333E+0    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000000 
00050000   1.98E-6     1.970237     4.02000E-3    6.0000E-4   -1.9522E+0    -9.1553E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00051000   2.00E-6     1.987461     3.35000E-3    8.2000E-4   -1.9724E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
