# 1kOhm 08/12/2017  PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-6 A Stop current: 2.00E-6 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000649   1.00E-6     0.997583     3.54000E-3    8.4000E-4   -9.4727E-1     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00002089   1.02E-6     1.008110     3.60000E-3    7.8000E-4   -9.7870E-1    -3.0518E-4    3.0518E-4    -3.0518E-4      0.000000 
00002785   1.04E-6     1.031515     4.07000E-3    2.1600E-3   -1.0086E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00003785   1.06E-6     1.056444     3.99000E-3    2.2400E-3   -1.0342E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00004785   1.08E-6     1.068442     3.91000E-3    2.6200E-3   -1.0544E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00005785   1.10E-6     1.096474     3.77000E-3    2.8100E-3   -1.0754E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00006785   1.12E-6     1.100777     3.88000E-3    2.4900E-3   -1.0941E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00007785   1.14E-6     1.135369     3.95000E-3    2.4700E-3   -1.1151E+0    -3.0518E-4   -9.1553E-4     0.0000E+0     -0.000305 
00008785   1.16E-6     1.154390     3.97000E-3    2.6600E-3   -1.1349E+0     0.0000E+0    6.1035E-4    -3.0518E-4      0.000000 
00009785   1.18E-6     1.175067     3.99000E-3    2.7600E-3   -1.1545E+0    -3.0518E-4   -6.1035E-4     3.0518E-4     -0.000305 
00010785   1.20E-6     1.177843     4.00000E-3    4.7000E-4   -1.1749E+0    -3.0518E-4   -3.0518E-4    -9.1553E-4     -0.000305 
00011785   1.22E-6     1.216821     3.42000E-3    7.8000E-4   -1.1954E+0    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000305 
00012785   1.24E-6     1.236516     3.23000E-3    2.3500E-3   -1.2149E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00013786   1.26E-6     1.256664     3.22000E-3    1.1000E-3   -1.2350E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00014787   1.28E-6     1.276896     3.31000E-3    1.1500E-3   -1.2549E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00015786   1.30E-6     1.296881     3.19000E-3    1.1900E-3   -1.2750E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00016785   1.32E-6     1.316661     3.21000E-3    1.6900E-3   -1.2946E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00017786   1.34E-6     1.331517     3.18000E-3    1.2500E-3   -1.3147E+0    -3.0518E-4    0.0000E+0    -6.1035E-4      0.000000 
00018785   1.36E-6     1.356581     4.28000E-3    2.0600E-3   -1.3345E+0    -3.0518E-4    0.0000E+0    -6.1035E-4      0.000000 
00019785   1.38E-6     1.375674     3.42000E-3    1.1400E-3   -1.3547E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00020785   1.40E-6     1.396411     3.87000E-3    2.6300E-3   -1.3742E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00021785   1.42E-6     1.416403     3.69000E-3    2.7900E-3   -1.3950E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00022785   1.44E-6     1.436238     3.79000E-3    2.6000E-3   -1.4148E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00023785   1.46E-6     1.454547     3.56000E-3    2.4300E-3   -1.4343E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00024785   1.48E-6     1.475979     3.98000E-3    2.6200E-3   -1.4545E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00025785   1.50E-6     1.496083     4.00000E-3    2.7900E-3   -1.4749E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00026785   1.52E-6     1.514582     4.01000E-3    4.8000E-4   -1.4941E+0    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00027785   1.54E-6     1.535704     4.18000E-3    2.3700E-3   -1.5149E+0     3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00028785   1.56E-6     1.554537     4.30000E-3    2.1900E-3   -1.5341E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00029786   1.58E-6     1.575658     4.23000E-3    1.0600E-3   -1.5546E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000610 
00030785   1.60E-6     1.593504     4.37000E-3    2.0900E-3   -1.5738E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000305 
