# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3    14.130441     4.51000E-3    1.6800E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00001873   1.02E-3    14.130144     3.72000E-3    9.4000E-4   -1.0000E+1    -9.1553E-4    0.0000E+0    -3.0518E-4      0.000000 
00002282   1.04E-3    14.130125     3.85000E-3   -8.0000E-5   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00003000   1.06E-3    14.129964     4.03000E-3    1.7100E-3   -1.0000E+1     0.0000E+0    3.0518E-4     0.0000E+0      0.000000 
00004000   1.08E-3    14.129667     3.83000E-3    1.6500E-3   -1.0000E+1    -6.1035E-4   -6.1035E-4     0.0000E+0     -0.000305 
00005000   1.10E-3    14.129593     3.77000E-3    3.3000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00006000   1.12E-3    14.129460     3.80000E-3    3.2200E-3   -1.0000E+1    -9.1553E-4   -6.1035E-4     3.0518E-4      0.000000 
00007000   1.14E-3    14.129299     3.77000E-3    3.3500E-3   -1.0000E+1     0.0000E+0   -6.1035E-4     3.0518E-4     -0.000305 
00008000   1.16E-3    14.129085     3.80000E-3    3.4200E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00009000   1.18E-3    14.129091     4.17000E-3    2.8200E-3   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00010000   1.20E-3    14.128949     4.24000E-3    3.5000E-4   -1.0000E+1     0.0000E+0   -3.0518E-4    -6.1035E-4     -0.000305 
00011000   1.22E-3    14.128895     4.52000E-3    1.6300E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00012000   1.24E-3    14.128839     3.10000E-3    1.7000E-3   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00013000   1.26E-3    14.128829     3.07000E-3    1.6500E-3   -1.0000E+1    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00014000   1.28E-3    14.128656     4.05000E-3    1.6300E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00015000   1.30E-3    14.128532     3.75000E-3    1.5800E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00016000   1.32E-3    14.128502     3.77000E-3    3.1100E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00017000   1.34E-3    14.098019     3.81000E-3    3.3300E-3   -1.0000E+1     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00018000   1.36E-3    14.097478     3.84000E-3    3.4200E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00019000   1.38E-3    14.128393     3.52000E-3    3.3900E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00020000   1.40E-3    14.128437     3.06000E-3    1.6800E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00021000   1.42E-3    14.098112     3.11000E-3    1.6300E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00022000   1.44E-3    14.128273     3.07000E-3    1.6600E-3   -1.0000E+1     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00023000   1.46E-3    14.128287     3.60000E-3    1.6100E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     3.0518E-4     -0.000305 
00024000   1.48E-3    14.128113     3.77000E-3    2.0800E-3   -1.0000E+1    -6.1035E-4    0.0000E+0     0.0000E+0      0.000305 
00025000   1.50E-3    14.128182     3.76000E-3    3.1400E-3   -1.0000E+1    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000610 
00026000   1.52E-3    14.128203     3.84000E-3    3.3900E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00027000   1.54E-3    14.128080     3.81000E-3    3.3300E-3   -1.0000E+1    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00028000   1.56E-3    14.128117     4.26000E-3    2.6300E-3   -1.0000E+1     0.0000E+0   -6.1035E-4    -6.1035E-4      0.000000 
00029000   1.58E-3    14.128055     4.55000E-3    1.6600E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -3.0518E-4      0.000305 
00030000   1.60E-3    14.128067     4.59000E-3    1.6400E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00031000   1.62E-3    14.128061     4.58000E-3    1.6700E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00032000   1.64E-3    14.127913     3.50000E-3    1.6500E-3   -1.0000E+1    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000305 
00033000   1.66E-3    14.128012     3.78000E-3    1.6800E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00034000   1.68E-3    14.127839     3.83000E-3    3.0400E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00035000   1.70E-3    14.127864     3.75000E-3    3.3300E-3   -1.0000E+1     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00036000   1.72E-3    14.127823     3.83000E-3    3.3600E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00037000   1.74E-3    14.127817     3.35000E-3    3.5200E-3   -1.0000E+1     3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00038000   1.76E-3    14.127734     4.49000E-3    1.7000E-3   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000305 
00039000   1.78E-3    14.127734     4.58000E-3    1.6600E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00040000   1.80E-3    14.127691     4.51000E-3    1.6400E-3   -1.0000E+1     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
