# 1kOhm 08/12/2017 WITHOUT PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998283     2.99000E-3    1.6200E-3    9.9823E-1    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00002169   1.02E-3     1.018236     3.12000E-3    1.7100E-3    1.0187E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000916 
00003000   1.04E-3     1.038258     3.80000E-3   -8.0000E-5    1.0385E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00004000   1.06E-3     1.058203     3.80000E-3   -2.0000E-5    1.0583E+0    -6.1035E-4   -3.0518E-4    -6.1035E-4      0.000305 
00005000   1.08E-3     1.078155     3.85000E-3    3.3300E-3    1.0782E+0     0.0000E+0   -3.0518E-4    -6.1035E-4      0.000000 
