# 1kOhm 08/12/2017 WITHOUT PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998226     3.77000E-3   -8.0000E-5    9.9792E-1     3.0518E-4   -6.1035E-4    -6.1035E-4     -0.000916 
00002166   1.01E-3     1.005412     4.45000E-3    1.4500E-3    1.0083E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00003000   1.02E-3     1.018172     3.97000E-3    1.6600E-3    1.0193E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00004000   1.03E-3     1.028180     3.87000E-3    1.8800E-3    1.0294E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00005000   1.04E-3     1.038194     3.80000E-3    1.3300E-3    1.0382E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00006000   1.05E-3     1.048143     3.80000E-3    5.7000E-4    1.0468E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.06E-3     1.058149     3.86000E-3    3.0100E-3    1.0583E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00008000   1.07E-3     1.068087     3.79000E-3    3.1500E-3    1.0675E+0    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000305 
00009000   1.08E-3     1.078100     3.75000E-3   -7.0000E-5    1.0764E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00010000   1.09E-3     1.088107     3.85000E-3    3.3300E-3    1.0876E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00011000   1.10E-3     1.098042     3.81000E-3    3.3900E-3    1.0995E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00012000   1.11E-3     1.108049     3.79000E-3    3.3700E-3    1.1063E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00013000   1.12E-3     1.118068     3.34000E-3    3.3600E-3    1.1185E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00014000   1.13E-3     1.127838     4.39000E-3    8.1000E-4    1.1273E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000610 
00015000   1.14E-3     1.138012     4.51000E-3    1.5000E-3    1.1377E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00016000   1.15E-3     1.147904     4.56000E-3    1.7000E-3    1.1475E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00017000   1.16E-3     1.157956     4.56000E-3    1.6900E-3    1.1594E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00018000   1.17E-3     1.167968     4.54000E-3    1.7000E-3    1.1670E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00019000   1.18E-3     1.177904     2.97000E-3    1.6600E-3    1.1786E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00020000   1.19E-3     1.187908     4.16000E-3    1.6300E-3    1.1868E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00021000   1.20E-3     1.196878     3.83000E-3    1.3300E-3    1.1966E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00022000   1.21E-3     1.197845     3.81000E-3    4.1000E-4    1.2085E+0     0.0000E+0   -3.0518E-4     3.0518E-4     -0.000305 
00023000   1.22E-3     1.217861     3.79000E-3    1.0000E-4    1.2189E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00024000   1.23E-3     1.227803     3.79000E-3   -1.0000E-5    1.2238E+0     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
