# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     9.996048     3.81000E-3    2.8800E-3    9.9927E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00002032   1.02E-3     9.996082     3.79000E-3   -7.0000E-5    9.9942E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00003000   1.04E-3     9.996107     3.15000E-3    2.8000E-3    9.9918E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00004000   1.06E-3     9.996149     3.05000E-3    2.0500E-3    9.9930E+0     0.0000E+0    0.0000E+0     3.0518E-4      0.000000 
00005000   1.08E-3     9.996184     4.49000E-3    1.6300E-3    9.9930E+0     3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00006000   1.10E-3     9.996149     4.54000E-3    1.5900E-3    9.9954E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00007000   1.12E-3     9.996183     4.57000E-3    1.6400E-3    9.9911E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00008000   1.14E-3     9.996232     4.59000E-3    1.6400E-3    9.9930E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00009000   1.16E-3     9.996281     4.59000E-3    1.6300E-3    9.9945E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00010000   1.18E-3     9.996221     4.56000E-3    1.6400E-3    9.9924E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00011000   1.20E-3     9.996239     3.06000E-3    1.5900E-3    9.9924E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000610 
