# 1kOhm 08/12/2017 WITHOUT PREAMPS final 2
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998253     3.79000E-3    2.0000E-4    9.9792E-1    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00002162   1.02E-3     1.018201     3.81000E-3    3.3500E-3    1.0175E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00003000   1.04E-3     1.038222     2.95000E-3    1.6000E-3    1.0376E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00004000   1.06E-3     1.058181     2.99000E-3    1.6600E-3    1.0571E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00005000   1.08E-3     1.078131     3.38000E-3    1.6600E-3    1.0785E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00006000   1.10E-3     1.098076     3.62000E-3    1.3900E-3    1.0977E+0     0.0000E+0    3.0518E-4    -6.1035E-4     -0.000305 
00007000   1.12E-3     1.118102     3.81000E-3    1.7000E-3    1.1179E+0     0.0000E+0    3.0518E-4     0.0000E+0      0.000305 
# Sensitivity: 500mV
00008000   1.14E-3     1.138007     1.90500E-2    1.7350E-2    1.1368E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00009000   1.16E-3     1.157996     1.90000E-2    1.1600E-2    1.1575E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000610 
00010000   1.18E-3     1.177941     1.89500E-2    7.0500E-3    1.1780E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00011000   1.20E-3     1.197887     1.88500E-2    4.3000E-3    1.1975E+0    -3.0518E-4    3.0518E-4    -6.1035E-4      0.000000 
# Sensitivity: 100mV
00012000   1.22E-3     1.217911     7.02000E-3    2.3800E-3    1.2173E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00013000   1.24E-3     1.237857     3.77000E-3   -2.1700E-3    1.2378E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00014000   1.26E-3     1.257803     3.78000E-3    4.6900E-3    1.2573E+0    -6.1035E-4   -6.1035E-4    -3.0518E-4      0.000000 
00015000   1.28E-3     1.277758     2.34000E-3    1.6500E-3    1.2775E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00016000   1.30E-3     1.297779     2.67000E-3    2.0600E-3    1.2967E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000305 
