# 1kOhm 08/12/2017  PREAMPS 
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-6 A Stop current: 2.00E-6 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000649   1.00E-6     0.993997     3.31000E-3    2.1000E-3   -9.0210E-1    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00001860   1.02E-6     1.012913     3.87000E-3    6.3000E-4   -9.6436E-1    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00002254   1.04E-6     1.033432     3.50000E-3    2.6900E-3   -9.9609E-1    -3.0518E-4    0.0000E+0    -6.1035E-4      0.000000 
00003000   1.06E-6     1.041132     4.06000E-3    2.1100E-3   -1.0281E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00004000   1.08E-6     1.070693     4.05000E-3    2.3100E-3   -1.0544E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00005000   1.10E-6     1.090758     3.86000E-3    2.6200E-3   -1.0745E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00006000   1.12E-6     1.110386     3.72000E-3    2.8700E-3   -1.0947E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00007000   1.14E-6     1.131126     3.95000E-3    8.1000E-4   -1.1145E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000305 
00008000   1.16E-6     1.150516     3.58000E-3    6.3000E-4   -1.1346E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000916 
00009000   1.18E-6     1.170955     3.97000E-3    5.7000E-4   -1.1548E+0    -3.0518E-4    3.0518E-4     0.0000E+0      0.000000 
00010000   1.20E-6     1.191574     3.55000E-3    2.8100E-3   -1.1749E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00011000   1.22E-6     1.192387     3.40000E-3    2.6800E-3   -1.1942E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00012000   1.24E-6     1.230316     3.21000E-3    2.3100E-3   -1.2140E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000610 
00013000   1.26E-6     1.234994     4.18000E-3    1.1400E-3   -1.2350E+0    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000305 
00014000   1.28E-6     1.270107     4.29000E-3    1.3500E-3   -1.2546E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00015000   1.30E-6     1.286724     3.19000E-3    1.5500E-3   -1.2750E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00016000   1.32E-6     1.309813     3.27000E-3    1.2200E-3   -1.2952E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00017000   1.34E-6     1.329182     4.15000E-3    1.1700E-3   -1.3141E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
